                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.032049,               0.028192,               0.039323,              0.0023957,                0.87953,                0.88595,                0.92422,                0.68423,                0.86708,                0.87092,                 0.9015,                0.65502,               0.027581,               0.023855,               0.030427,              0.0020261,              0.0095446,              0.0095446,              0.0095446
                     25,               0.031821,               0.028375,                0.03908,              0.0023677,                0.85837,                 0.8769,                0.91374,                0.65946,                0.84235,                 0.8587,                  0.888,                0.64027,               0.027568,               0.024062,               0.030692,              0.0016969,              0.0095248,              0.0095248,              0.0095248
                     26,               0.031276,                0.02878,               0.038785,              0.0024442,                 0.8973,                0.88461,                0.93111,                0.69468,                 0.8833,                0.85993,                0.90512,                0.65183,               0.027937,                0.02416,               0.029788,              0.0020518,               0.009505,               0.009505,               0.009505
                     27,               0.031265,                0.02808,               0.038697,               0.002263,                0.85275,                 0.7989,                0.88366,                0.57966,                0.83449,                 0.7792,                0.85186,                0.56459,                0.02889,               0.026119,               0.032799,              0.0023294,              0.0094852,              0.0094852,              0.0094852
                     28,               0.030679,               0.027954,               0.038569,              0.0022552,                0.87104,                0.89043,                0.91899,                0.66761,                0.85667,                0.87424,                0.89683,                0.63687,               0.025849,               0.024615,                0.02971,              0.0022002,              0.0094654,              0.0094654,              0.0094654
                     29,               0.030901,               0.027787,               0.037979,              0.0025783,                0.87401,                0.87742,                0.92291,                0.69641,                0.86282,                0.86717,                0.90116,                0.64911,               0.026191,               0.023494,               0.031205,              0.0018324,              0.0094456,              0.0094456,              0.0094456
                     30,               0.030583,               0.027413,               0.036952,              0.0023082,                0.90138,                0.86974,                0.92693,                0.70853,                  0.888,                0.85887,                 0.9079,                0.66481,               0.025605,               0.024201,               0.030248,              0.0013142,              0.0094258,              0.0094258,              0.0094258
                     31,               0.030049,               0.027356,               0.037494,              0.0021419,                 0.8769,                0.88257,                0.92327,                0.69006,                0.85539,                0.86994,                0.89449,                0.65188,               0.026943,               0.023898,               0.030023,              0.0024316,               0.009406,               0.009406,               0.009406
                     32,               0.030533,                0.02693,               0.037596,              0.0022483,                0.89445,                0.88703,                0.92763,                0.70064,                0.88618,                0.87452,                0.90748,                0.67328,               0.026229,               0.022999,               0.028931,              0.0014307,              0.0093862,              0.0093862,              0.0093862
                     33,                0.02971,               0.026695,               0.036874,              0.0022755,                0.89358,                0.88843,                 0.9302,                0.70213,                0.87686,                0.87691,                0.91099,                0.66661,               0.025843,                0.02274,               0.029985,              0.0012152,              0.0093664,              0.0093664,              0.0093664
