                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.088429,               0.077944,               0.059333,               0.029228,                0.48487,                0.57609,                0.53607,                0.25028,                0.48645,                0.57579,                0.52913,                0.29041,               0.057419,               0.040821,               0.040197,               0.012641,               0.070186,              0.0033126,              0.0033126
                      1,               0.062727,               0.044859,               0.051971,              0.0097696,                0.59275,                0.68357,                0.66006,                 0.3578,                0.61483,                0.69511,                0.68035,                0.40256,               0.054737,               0.034981,               0.037516,              0.0053834,               0.040121,              0.0065802,              0.0065802
                      2,               0.060005,               0.041629,               0.049719,              0.0069569,                0.60723,                0.70593,                0.69621,                 0.3678,                0.61015,                0.67561,                0.67327,                0.37703,               0.054403,               0.038879,               0.037167,              0.0051033,              0.0099887,              0.0097817,              0.0097817
                      3,               0.053481,               0.039864,                0.04848,              0.0062127,                0.59478,                0.57663,                0.59093,                0.31234,                0.58505,                0.49175,                0.50291,                0.23679,               0.049707,                0.04781,                0.04383,              0.0083401,               0.009703,               0.009703,               0.009703
                      4,               0.049192,               0.038035,               0.047347,              0.0055153,                0.80028,                0.77608,                0.81972,                0.47738,                0.79177,                0.76172,                0.80011,                 0.5023,               0.041423,               0.032343,               0.037627,              0.0046576,               0.009703,               0.009703,               0.009703
                      5,               0.045346,               0.036862,               0.046468,              0.0048943,                0.72977,                0.81658,                0.81764,                0.44199,                0.72008,                0.80366,                0.79673,                0.46548,               0.039555,                 0.0318,               0.037046,              0.0024315,               0.009604,               0.009604,               0.009604
                      6,               0.043042,               0.036449,               0.047222,              0.0044906,                0.82777,                0.81392,                0.85897,                 0.5586,                0.82013,                0.79902,                0.83705,                0.53946,               0.035999,               0.030037,               0.035316,              0.0030214,               0.009505,               0.009505,               0.009505
                      7,               0.042181,               0.035081,               0.045211,              0.0042985,                0.85068,                0.79156,                0.85177,                0.56316,                0.83723,                0.77731,                0.82141,                0.51775,               0.037416,               0.030762,               0.037352,              0.0038675,               0.009406,               0.009406,               0.009406
                      8,               0.040775,               0.034815,               0.044518,               0.004127,                 0.8424,                0.80204,                 0.8694,                 0.5842,                0.83751,                0.78263,                0.84271,                0.55019,                0.03434,                0.02951,               0.034792,              0.0041559,               0.009307,               0.009307,               0.009307
                      9,               0.039171,               0.034056,               0.043683,              0.0037788,                0.86198,                0.83508,                  0.886,                0.55775,                0.84763,                0.81945,                0.86186,                0.57488,               0.035223,               0.027634,               0.033221,              0.0021562,               0.009208,               0.009208,               0.009208
                     10,               0.038402,               0.033289,               0.043207,               0.003645,                0.87157,                0.85742,                0.90292,                0.61951,                0.85746,                0.83836,                0.87289,                0.59197,               0.031493,               0.026565,               0.031325,              0.0020267,               0.009109,               0.009109,               0.009109
                     11,               0.037657,               0.032946,               0.042603,              0.0035815,                0.87587,                0.84609,                0.90011,                0.61058,                0.86804,                0.83099,                0.87678,                0.58559,               0.032728,               0.026085,               0.032121,              0.0023496,                0.00901,                0.00901,                0.00901
                     12,               0.037066,               0.032379,               0.042837,              0.0032802,                0.87757,                0.84056,                0.90092,                0.59614,                0.87004,                0.82265,                0.87408,                 0.5881,               0.032611,               0.026659,               0.031798,              0.0025454,               0.008911,               0.008911,               0.008911
                     13,               0.036201,               0.031802,               0.042062,              0.0033505,                0.87535,                0.86552,                 0.9137,                0.63611,                0.86762,                0.84672,                0.88947,                0.61459,               0.031229,                0.02556,               0.031348,              0.0017259,               0.008812,               0.008812,               0.008812
                     14,               0.035307,               0.031804,               0.041491,              0.0032458,                0.87322,                0.86983,                0.91267,                0.66896,                0.86666,                0.84525,                0.88774,                0.61542,               0.029247,               0.025262,               0.030538,              0.0023485,               0.008713,               0.008713,               0.008713
                     15,               0.034982,                0.03059,               0.040429,              0.0030364,                0.87056,                0.86746,                0.91271,                0.67687,                0.85873,                0.85057,                0.88955,                0.61884,               0.029383,               0.025816,               0.031073,               0.002321,               0.008614,               0.008614,               0.008614
                     16,               0.034742,                0.03127,               0.041306,              0.0031336,                0.85675,                  0.878,                0.91658,                0.67089,                0.84479,                0.85783,                0.89156,                0.63394,               0.028051,               0.024927,                0.03016,              0.0017723,               0.008515,               0.008515,               0.008515
                     17,               0.034161,                0.03059,               0.040698,               0.002997,                0.87213,                0.87239,                0.91877,                0.66612,                0.85477,                 0.8657,                0.89549,                0.64268,               0.028804,               0.024269,                0.03014,              0.0018167,               0.008416,               0.008416,               0.008416
                     18,               0.033721,                0.03036,               0.039651,              0.0028807,                0.88093,                0.87859,                0.92944,                0.68362,                0.86365,                0.86083,                0.89699,                0.64498,               0.028981,               0.025308,               0.029698,              0.0015698,               0.008317,               0.008317,               0.008317
                     19,               0.033567,               0.029406,               0.039333,              0.0026953,                0.87795,                0.88726,                0.92738,                0.67626,                0.87008,                0.86979,                0.90547,                0.65093,               0.028578,                0.02389,               0.029087,              0.0011991,               0.008218,               0.008218,               0.008218
                     20,               0.032967,               0.029741,               0.039245,              0.0027694,                0.89435,                0.87298,                0.92426,                 0.6817,                0.88071,                0.85716,                0.90038,                0.65513,               0.028222,               0.024246,               0.029543,               0.001459,               0.008119,               0.008119,               0.008119
                     21,               0.032442,               0.028974,               0.038582,              0.0026399,                0.90351,                0.85942,                0.92059,                0.67189,                0.89304,                0.84565,                0.89809,                0.64098,                0.02774,               0.023755,               0.030107,              0.0016215,                0.00802,                0.00802,                0.00802
                     22,               0.032296,               0.028965,               0.038365,              0.0025487,                0.88481,                 0.8826,                0.92528,                0.66889,                0.87287,                0.86794,                0.90133,                0.65215,                0.02789,               0.023957,               0.029596,              0.0012526,               0.007921,               0.007921,               0.007921
                     23,               0.032231,               0.029003,               0.038711,              0.0025587,                0.89701,                0.87633,                0.92628,                 0.6791,                0.88227,                0.86021,                0.90044,                 0.6258,               0.027679,               0.024687,               0.029234,              0.0018348,               0.007822,               0.007822,               0.007822
                     24,               0.031538,               0.028077,               0.038632,              0.0024853,                0.89624,                0.89074,                0.92874,                0.69088,                0.88188,                0.87781,                0.90608,                0.65466,               0.027443,               0.023514,                0.02879,              0.0017219,               0.007723,               0.007723,               0.007723
                     25,               0.031302,               0.027974,               0.038157,              0.0024306,                0.88526,                0.88874,                0.92903,                0.69782,                0.87159,                0.87383,                0.90804,                0.67577,               0.027159,               0.023313,               0.029259,              0.0012888,               0.007624,               0.007624,               0.007624
                     26,               0.031222,               0.028543,               0.037578,              0.0024331,                0.90076,                0.89597,                0.93597,                0.71203,                0.89022,                0.88269,                0.91615,                0.67027,                0.02623,                0.02282,               0.027595,              0.0012291,               0.007525,               0.007525,               0.007525
                     27,               0.030674,               0.028175,               0.037985,              0.0023282,                0.89098,                0.89357,                0.93378,                0.71213,                0.87556,                0.87907,                0.91204,                0.67865,               0.026104,               0.022561,               0.028289,              0.0012439,               0.007426,               0.007426,               0.007426
                     28,               0.030643,               0.027677,               0.037355,              0.0024371,                0.89328,                0.89229,                 0.9296,                0.71033,                0.88143,                0.88468,                0.91213,                0.67053,               0.026009,               0.023095,                 0.0282,              0.0011737,               0.007327,               0.007327,               0.007327
                     29,               0.030234,                0.02799,                0.03681,              0.0025456,                0.89796,                 0.8882,                0.93066,                0.70863,                0.88618,                0.87734,                0.91036,                 0.6639,               0.026259,               0.023093,               0.028374,              0.0013644,               0.007228,               0.007228,               0.007228
                     30,               0.030041,                0.02791,               0.035916,              0.0024117,                0.89047,                0.90103,                 0.9364,                0.72091,                0.87841,                 0.8892,                0.91694,                0.67179,               0.025393,               0.022448,               0.027444,              0.0011221,               0.007129,               0.007129,               0.007129
                     31,               0.029875,               0.027822,               0.036569,                0.00215,                0.91733,                 0.8866,                0.93589,                0.72242,                0.90652,                0.87107,                0.91363,                0.68383,               0.025755,               0.022752,               0.028116,              0.0011151,                0.00703,                0.00703,                0.00703
                     32,               0.029665,                0.02758,               0.036619,              0.0022918,                0.91045,                0.88785,                 0.9352,                 0.7131,                0.89439,                0.87227,                0.91077,                0.66832,               0.025826,               0.022436,                 0.0281,               0.001291,               0.006931,               0.006931,               0.006931
